Date,FSLY,IMMR,FB,U,NVDA,AAPL,MSFT,METV
2021-08-09,44.040000915527344,7.650000095367432,361.6099853515625,110.25,202.85479736328125,145.69146728515625,286.6607971191406,14.810999870300293
2021-08-10,42.29999923706055,7.480000019073486,361.1300048828125,107.1500015258789,199.26649475097656,145.20281982421875,284.7817687988281,14.670000076293945
2021-08-11,42.08000183105469,7.420000076293945,359.9599914550781,121.3499984741211,196.89761352539062,145.46209716796875,285.288818359375,14.699999809265137
2021-08-12,42.970001220703125,7.429999828338623,362.6499938964844,126.69000244140625,198.95663452148438,148.4838409423828,288.13226318359375,14.75
2021-08-13,42.11000061035156,7.25,363.17999267578125,128.8699951171875,201.7853240966797,148.6932830810547,291.1546325683594,14.739999771118164
2021-08-16,39.880001068115234,7.239999771118164,366.55999755859375,122.19000244140625,199.40643310546875,150.70774841308594,292.89453125,14.550000190734863
2021-08-17,40.959999084472656,6.460000038146973,358.45001220703125,120.77999877929688,194.48873901367188,149.78030395507812,291.38330078125,14.3100004196167
2021-08-18,40.959999084472656,6.860000133514404,355.45001220703125,117.91999816894531,190.31068420410156,145.9607391357422,289.60028076171875,14.270000457763672
2021-08-19,39.220001220703125,6.71999979019165,355.1199951171875,116.41000366210938,197.88714599609375,146.2998046875,295.6167907714844,14.229999542236328
2021-08-20,40.93000030517578,7.019999980926514,359.3699951171875,122.83999633789062,208.06236267089844,147.78575134277344,303.17730712890625,14.449999809265137
2021-08-23,43.2599983215332,7.239999771118164,363.3500061035156,125.29000091552734,219.47702026367188,149.30162048339844,303.4661560058594,14.75
2021-08-24,43.83000183105469,7.5,365.510009765625,125.11000061035156,217.82777404785156,149.2118377685547,301.4440612792969,14.90999984741211
2021-08-25,44.310001373291016,7.449999809265137,368.3900146484375,124.62000274658203,222.02581787109375,147.9552764892578,300.8364562988281,15.020000457763672
